Player,Nation,Pos,Squad,Comp,Age,Min,MP,Gls,Ast,G+A,G-PK,PK,xG,xAG,npxG,npxG+xAG,PrgC,PrgP,PrgR,CrdY,CrdR,Gls/90,Ast/90,xG/90,market_value_eur_M,over_xG,cluster,cluster_label,GA_pred_lr,GA_pred_rf,xG_diff
Raphinha,br BRA,FW,Barcelona,es La Liga,27.0,2839,36,18,9,27,16,2,19.2,12.7,17.6,30.3,94,135,349,4,0,0.571,0.286,0.61,200.0,0,1,Delantero Goleador,33.16,28.3,-1.2
Marcus Rashford,eng ENG,FW,Manchester Utd,eng Premier League,26.0,978,15,4,1,5,4,0,1.7,2.1,1.7,3.8,20,21,79,2,0,0.367,0.092,0.156,63.0,1,0,Mediocampista Creativo,3.61,4.6,2.3
Marcus Rashford,eng ENG,FW,Aston Villa,eng Premier League,26.0,444,10,2,2,4,1,1,3.1,2.3,2.3,4.5,22,13,42,0,0,0.408,0.408,0.633,55.2,0,0,Mediocampista Creativo,5.32,4.09,-1.1
Giacomo Raspadori,it ITA,FW,Napoli,it Serie A,24.0,1103,26,6,1,7,6,0,4.0,2.4,4.0,6.4,18,42,57,1,0,0.488,0.081,0.325,83.7,1,0,Mediocampista Creativo,6.42,6.79,2.0
Andrei Ratiu,ro ROU,DF,Rayo Vallecano,es La Liga,26.0,3065,35,2,3,5,2,0,1.8,5.7,1.8,7.5,122,145,167,5,0,0.059,0.088,0.053,26.8,1,1,Delantero Goleador,7.75,6.57,0.2
Raúl,es ESP,FW,Osasuna,es La Liga,23.0,750,32,4,0,4,4,0,3.5,0.7,3.5,4.1,10,16,49,1,0,0.482,0.0,0.422,63.8,1,0,Mediocampista Creativo,4.18,3.86,0.5
David Raum,de GER,DF,RB Leipzig,de Bundesliga,26.0,1783,22,1,5,6,1,0,0.5,6.5,0.5,6.9,36,71,127,5,0,0.051,0.253,0.025,25.2,1,1,Delantero Goleador,6.66,5.98,0.5
Rayan Raveloson,mg MAD,MF,Auxerre,fr Ligue 1,27.0,724,13,1,0,1,1,0,0.8,0.2,0.8,1.0,5,31,12,3,0,0.125,0.0,0.1,24.8,1,0,Mediocampista Creativo,0.79,0.9,0.2
Abderrahman Rebbach,dz ALG,FW,Alavés,es La Liga,25.0,385,8,0,0,0,0,0,0.2,0.3,0.2,0.5,16,5,34,1,0,0.0,0.0,0.047,25.5,0,0,Mediocampista Creativo,0.23,0.13,-0.2
Ante Rebić,hr CRO,FW,Lecce,it Serie A,30.0,788,27,1,0,1,1,0,2.1,2.1,2.1,4.2,17,36,63,3,2,0.114,0.0,0.239,37.8,0,0,Mediocampista Creativo,4.07,2.24,-1.1
